llm_model,model_pretty,ablation,ablation_pretty,modality,nrmse
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,image,0.254693197521802
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text,0.3914146116805976
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text_image,0.2689324767825849
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,image,0.31664245385830175
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,text,0.37681633646115537
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,text_image,0.3171393609092826
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,image,0.29822605520465006
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,text,0.28049276303870996
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,text_image,0.2705283221068727
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,image,0.28169611376971454
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,text_image,0.24874357094988309
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,image,0.37101250775221645
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text,0.39651061155220935
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,0.3731074630406162
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,image,0.2949801144426502
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,text_image,0.26434054058610457
gemma-3-4b-it,Gemma 3 4B it,base,Base,image,3.1433769095834654
gemma-3-4b-it,Gemma 3 4B it,base,Base,text,0.7180945374728522
gemma-3-4b-it,Gemma 3 4B it,base,Base,text_image,3.571276204184991
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal steer,image,3.7298616223693504
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal steer,text,1.1184532705059886
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal steer,text_image,2.6239476270241395
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical steer,image,2.544718422328206
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical steer,text,0.6279080718890974
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical steer,text_image,2.9537314786672515
gemma-3-4b-it,Gemma 3 4B it,base_3,Noise,image,3.3223864026321794
gemma-3-4b-it,Gemma 3 4B it,base_3,Noise,text_image,3.572312166583894
