correct,response,range_category,trial
0.25,0.48,short,0
0.48,0.52,short,1
0.39,0.35,short,2
0.34,0.3,short,3
0.16,0.08,short,4
0.16,0.1,short,5
0.12,0.08,short,6
0.45,0.4,short,7
0.34,0.33,short,8
0.38,0.38,short,9
0.25,0.48,short,10
0.48,0.58,short,11
0.39,0.34,short,12
0.34,0.28,short,13
0.16,0.12,short,14
0.16,0.1,short,15
0.12,0.08,short,16
0.45,0.38,short,17
0.34,0.35,short,18
0.38,0.3,short,19
0.25,0.21,short,20
0.48,0.58,short,21
0.39,0.43,short,22
0.34,0.27,short,23
0.16,0.12,short,24
0.16,0.1,short,25
0.12,0.08,short,26
0.45,0.34,short,27
0.34,0.3,short,28
0.38,0.28,short,29
0.25,0.22,short,30
0.48,0.29,short,31
0.39,0.43,short,32
0.34,0.35,short,33
0.16,0.12,short,34
0.16,0.12,short,35
0.12,0.1,short,36
0.45,0.38,short,37
0.34,0.34,short,38
0.38,0.28,short,39
0.25,0.23,short,40
0.48,0.28,short,41
0.39,0.17,short,42
0.34,0.32,short,43
0.16,0.15,short,44
0.16,0.11,short,45
0.12,0.08,short,46
0.45,0.38,short,47
0.34,0.31,short,48
0.38,0.31,short,49
0.49,0.59,medium,0
0.78,0.69,medium,1
0.67,0.56,medium,2
0.6,0.52,medium,3
0.38,0.3,medium,4
0.38,0.27,medium,5
0.33,0.21,medium,6
0.73,0.37,medium,7
0.6,0.29,medium,8
0.65,0.32,medium,9
0.49,0.42,medium,10
0.78,0.85,medium,11
0.67,0.58,medium,12
0.6,0.48,medium,13
0.38,0.26,medium,14
0.38,0.31,medium,15
0.33,0.22,medium,16
0.73,0.4,medium,17
0.6,0.33,medium,18
0.65,0.34,medium,19
0.49,0.28,medium,20
0.78,0.79,medium,21
0.67,0.68,medium,22
0.6,0.53,medium,23
0.38,0.38,medium,24
0.38,0.31,medium,25
0.33,0.22,medium,26
0.73,0.42,medium,27
0.6,0.33,medium,28
0.65,0.38,medium,29
0.49,0.24,medium,30
0.78,0.32,medium,31
0.67,0.68,medium,32
0.6,0.65,medium,33
0.38,0.35,medium,34
0.38,0.3,medium,35
0.33,0.25,medium,36
0.73,0.4,medium,37
0.6,0.35,medium,38
0.65,0.47,medium,39
0.49,0.25,medium,40
0.78,0.75,medium,41
0.67,0.4,medium,42
0.6,0.62,medium,43
0.38,0.38,medium,44
0.38,0.31,medium,45
0.33,0.27,medium,46
0.73,0.55,medium,47
0.6,0.42,medium,48
0.65,0.43,medium,49
0.65,0.65,long,0
0.88,0.78,long,1
0.79,0.65,long,2
0.74,0.65,long,3
0.56,0.42,long,4
0.56,0.38,long,5
0.52,0.28,long,6
0.85,0.63,long,7
0.74,0.53,long,8
0.78,0.62,long,9
0.65,0.57,long,10
0.88,0.75,long,11
0.79,0.68,long,12
0.74,0.66,long,13
0.56,0.49,long,14
0.56,0.37,long,15
0.52,0.34,long,16
0.85,0.63,long,17
0.74,0.47,long,18
0.78,0.56,long,19
0.65,0.52,long,20
0.88,0.66,long,21
0.79,0.65,long,22
0.74,0.74,long,23
0.56,0.52,long,24
0.56,0.49,long,25
0.52,0.32,long,26
0.85,0.61,long,27
0.74,0.53,long,28
0.78,0.58,long,29
0.65,0.57,long,30
0.88,0.61,long,31
0.79,0.65,long,32
0.74,0.68,long,33
0.56,0.52,long,34
0.56,0.43,long,35
0.52,0.34,long,36
0.85,0.62,long,37
0.74,0.51,long,38
0.78,0.63,long,39
0.65,0.56,long,40
0.88,0.59,long,41
0.79,0.56,long,42
0.74,0.68,long,43
0.56,0.62,long,44
0.56,0.55,long,45
0.52,0.38,long,46
0.85,0.63,long,47
0.74,0.59,long,48
0.78,0.68,long,49
