group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.32399999999999995,0.020329999999999994,0.25,0.0,short
1,0.45,0.023300000000000008,0.48,0.0,short
2,0.344,0.011279999999999997,0.39,0.0,short
3,0.304,0.0010299999999999977,0.34,0.0,short
4,0.118,0.0006199999999999997,0.16,0.0,short
5,0.10600000000000001,7.999999999999986e-05,0.16,0.0,short
6,0.084,8.000000000000002e-05,0.12,0.0,short
7,0.376,0.0004799999999999999,0.45,0.0,short
8,0.32599999999999996,0.00043000000000000015,0.34,0.0,short
9,0.31,0.0016999999999999984,0.38,0.0,short
0,0.356,0.02233,0.49000000000000005,0.0,medium
1,0.6799999999999999,0.04390000000000001,0.78,0.0,medium
2,0.5800000000000001,0.013199999999999996,0.67,0.0,medium
3,0.5599999999999999,0.005149999999999999,0.6,0.0,medium
4,0.33399999999999996,0.0027799999999999986,0.38,0.0,medium
5,0.3,0.0002999999999999993,0.38,0.0,medium
6,0.23399999999999999,0.00063,0.33,0.0,medium
7,0.42800000000000005,0.0049700000000000005,0.73,0.0,medium
8,0.344,0.0022800000000000016,0.6,0.0,medium
9,0.388,0.0038699999999999976,0.65,0.0,medium
0,0.5740000000000001,0.002229999999999999,0.65,0.0,long
1,0.678,0.007069999999999996,0.8800000000000001,0.0,long
2,0.6380000000000001,0.0020699999999999976,0.79,0.0,long
3,0.682,0.0012199999999999989,0.74,0.0,long
4,0.514,0.005180000000000002,0.56,0.0,long
5,0.44399999999999995,0.005780000000000002,0.56,0.0,long
6,0.332,0.0013199999999999993,0.52,0.0,long
7,0.624,7.999999999999997e-05,0.85,0.0,long
8,0.526,0.0018799999999999993,0.74,0.0,long
9,0.6140000000000001,0.0021800000000000014,0.78,0.0,long
