correct,response,range_category,trial
2.5,3.2015621187164243,short,0
4.8023,1.75,short,1
3.9051,2.5,short,2
3.4004,0.75,short,3
1.6008,1.25,short,4
1.25,1.25,short,5
4.4721,1.0,short,6
1.118,1.118033988749895,short,7
4.8541,0.25,short,8
4.3661,1.25,short,9
2.5,2.5,short,10
4.8023,2.75,short,11
3.9051,1.5,short,12
3.4004,0.75,short,13
1.6008,0.25,short,14
1.25,1.25,short,15
4.4721,2.0,short,16
1.118,1.12,short,17
4.8541,1.25,short,18
4.3661,2.25,short,19
2.5,2.5,short,20
4.8023,6.75,short,21
3.9051,2.5,short,22
3.4004,0.75,short,23
1.6008,0.25,short,24
1.25,1.25,short,25
4.4721,2.0,short,26
1.118,1.12,short,27
4.8541,1.25,short,28
4.3661,2.5,short,29
2.5,2.5,short,30
4.8023,1.75,short,31
3.9051,3.5,short,32
3.4004,1.75,short,33
1.6008,1.25,short,34
1.25,1.25,short,35
4.4721,1.0,short,36
1.118,1.12,short,37
4.8541,1.25,short,38
4.3661,1.5,short,39
2.5,2.5,short,40
4.8023,6.75,short,41
3.9051,4.5,short,42
3.4004,1.75,short,43
1.6008,1.25,short,44
1.25,1.25,short,45
4.4721,1.0,short,46
1.118,1.12,short,47
4.8541,0.25,short,48
4.3661,1.25,short,49
4.4721,1.0,medium,0
6.8237,1.75,medium,1
5.9634,0.75,medium,2
5.3852,2.0,medium,3
3.6056,3.0,medium,4
3.25,3.75,medium,5
6.5,2.5,medium,6
5.831,1.0,medium,7
3.0923,4.25,medium,8
6.8966,8.75,medium,9
4.4721,1.0,medium,10
6.8237,1.75,medium,11
5.9634,0.75,medium,12
5.3852,2.0,medium,13
3.6056,3.0,medium,14
3.25,0.75,medium,15
6.5,2.5,medium,16
5.831,1.0,medium,17
3.0923,1.25,medium,18
6.8966,8.75,medium,19
4.4721,6.08,medium,20
6.8237,8.25,medium,21
5.9634,5.25,medium,22
5.3852,6.0,medium,23
3.6056,3.0,medium,24
3.25,2.25,medium,25
6.5,9.5,medium,26
5.831,5.0,medium,27
3.0923,2.25,medium,28
6.8966,3.75,medium,29
4.4721,4.0,medium,30
6.8237,5.25,medium,31
5.9634,0.25,medium,32
5.3852,1.0,medium,33
3.6056,2.0,medium,34
3.25,0.25,medium,35
6.5,6.75,medium,36
5.831,0.0,medium,37
3.0923,0.5,medium,38
6.8966,0.25,medium,39
4.4721,1.0,medium,40
6.8237,1.75,medium,41
5.9634,0.75,medium,42
5.3852,2.0,medium,43
3.6056,2.0,medium,44
3.25,0.75,medium,45
6.5,2.5,medium,46
5.831,1.0,medium,47
3.0923,1.25,medium,48
6.8966,8.75,medium,49
6.5,8.5,long,0
8.8459,0.5,long,1
7.9412,0.75,long,2
7.433,0.5,long,3
5.6569,7.0,long,4
5.2202,3.5,long,5
8.4595,0.75,long,6
7.8262,1.5,long,7
5.099,4.0,long,8
8.9022,0.5,long,9
6.5,8.5,long,10
8.8459,0.5,long,11
7.9412,0.75,long,12
7.433,0.5,long,13
5.6569,7.0,long,14
5.2202,0.5,long,15
8.4595,1.25,long,16
7.8262,2.5,long,17
5.099,1.0,long,18
8.9022,0.5,long,19
6.5,3.640054944640259,long,20
8.8459,0.5,long,21
7.9412,3.2526911934581184,long,22
7.433,0.5,long,23
5.6569,7.0,long,24
5.2202,6.5,long,25
8.4595,2.5,long,26
7.8262,3.640054944640259,long,27
5.099,7.0,long,28
8.9022,2.0,long,29
6.5,11.29,long,30
8.8459,0.5,long,31
7.9412,1.25,long,32
7.433,0.5,long,33
5.6569,1.0,long,34
5.2202,0.5,long,35
8.4595,1.25,long,36
7.8262,1.5,long,37
5.099,0.0,long,38
8.9022,0.5,long,39
6.5,11.25,long,40
8.8459,12.5,long,41
7.9412,13.25,long,42
7.433,0.5,long,43
5.6569,7.0,long,44
5.2202,6.5,long,45
8.4595,1.25,long,46
7.8262,2.5,long,47
5.099,6.0,long,48
8.9022,0.5,long,49
