llm_model,model_pretty,ablation,ablation_pretty,modality,combo_model,prob,nrmse,w_img
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,EmpiricalLinear,0.999999999996767,1.030760107427556,0.6924625197321708
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Bayes(stimulus),3.232874666102901e-12,0.8185441452617793,0.6000585934587647
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Bayes(range),8.642713432847425e-19,0.8114369661217056,0.49429273952874087
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Equal,5.0199992237954246e-20,0.7968470182564827,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,EmpiricalLinear,0.9999998408715824,0.6456064151204081,0.22151526537309643
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Bayes(range),1.5854183111872897e-07,0.6513989059967987,0.386699976390708
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Equal,5.86586515990202e-10,0.6890540761763253,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Bayes(stimulus),0.0,0.6493291268572465,0.444109123441037
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,EmpiricalLinear,0.9999742585004228,0.49931982609686104,0.5204484531085563
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Equal,2.509463185388875e-05,0.5007026018833427,0.5
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Bayes(range),4.58221222271234e-07,0.46032634215129614,0.5591041826358172
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Bayes(stimulus),1.886465008801419e-07,0.47045773246602884,0.4636213919103941
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,EmpiricalLinear,0.999999620102235,0.8960685366618933,0.12380293176261746
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Bayes(range),3.789308609329303e-07,0.8516159208421525,0.3809437828902737
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Bayes(stimulus),9.574859194793731e-10,0.8371767921217267,0.4163891360957226
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Equal,9.418339121192048e-12,0.8731903385571474,0.5
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,Bayes(stimulus),0.9997604532764472,0.13136984745153926,0.03203997344163568
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,EmpiricalLinear,0.000239546722431,0.12816891976091524,0.05196781474839693
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,Bayes(range),1.1216728675781174e-12,0.11448542065442895,0.13755916517321654
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,Equal,9.697040799103706e-55,0.16610566115826783,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,EmpiricalLinear,0.9999966849210088,1.1787102418580315,0.19367400201129187
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Bayes(range),3.3114520896194146e-06,1.0768817423022092,0.5476120587857043
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Equal,3.626901717913997e-09,1.0190913485204214,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Bayes(stimulus),2.79943548073696e-26,1.1962109383413173,0.6541271125755324
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,EmpiricalLinear,0.9999998081999476,0.6709748962745001,0.49205246733869323
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Equal,1.9180005240257092e-07,0.5924070340055158,0.5
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Bayes(stimulus),1.0347154203207983e-16,0.5109265112441973,0.6907919000693311
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Bayes(range),9.661288401219549e-22,0.4100404933867456,0.8418892778485936
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,EmpiricalLinear,0.99999979620622,0.34981032139766705,0.5493520415219778
