sample_id,number_pair,delta
sample_001,"(10891485, 10891523)",38
sample_002,"(66549758, 66549853)",95
sample_003,"(36920750, 36920823)",73
sample_004,"(54788504, 54788564)",60
sample_005,"(91496116, 91496132)",16
sample_006,"(30934885, 30934901)",16
sample_007,"(45755229, 45755236)",7
sample_008,"(77510705, 77510792)",87
sample_009,"(29049431, 29049492)",61
sample_010,"(15082152, 15082223)",71
sample_011,"(34657134, 34657137)",3
sample_012,"(22832358, 22832455)",97
sample_013,"(93532184, 93532267)",83
sample_014,"(82347075, 82347097)",22
sample_015,"(66273146, 66273165)",19
sample_016,"(88174374, 88174393)",19
sample_017,"(81937831, 81937862)",31
sample_018,"(25164445, 25164498)",53
sample_019,"(90115428, 90115472)",44
sample_020,"(57619486, 57619516)",30
sample_021,"(82284494, 82284556)",62
sample_022,"(90440400, 90440415)",15
sample_023,"(37256320, 37256350)",30
sample_024,"(18124777, 18124814)",37
sample_025,"(28970035, 28970081)",46
sample_026,"(47293917, 47293996)",79
sample_027,"(83257358, 83257379)",21
sample_028,"(87187214, 87187266)",52
sample_029,"(8639596, 8639656)",60
sample_030,"(54988752, 54988758)",6
sample_031,"(46401812, 46401873)",61
sample_032,"(28433919, 28433937)",18
sample_033,"(19027614, 19027621)",7
sample_034,"(39060596, 39060691)",95
sample_035,"(94747693, 94747790)",97
sample_036,"(37734670, 37734751)",81
sample_037,"(55728737, 55728768)",31
sample_038,"(72677744, 72677755)",11
sample_039,"(41453923, 41453992)",69
sample_040,"(97403952, 97403997)",45
sample_041,"(96545151, 96545164)",13
sample_042,"(31163971, 31164021)",50
sample_043,"(53746863, 53746867)",4
sample_044,"(35680805, 35680896)",91
sample_045,"(34205325, 34205352)",27
sample_046,"(11393599, 11393666)",67
sample_047,"(64079919, 64079951)",32
sample_048,"(54246470, 54246522)",52
sample_049,"(12736045, 12736100)",55
sample_050,"(33635475, 33635494)",19
sample_051,"(91560462, 91560559)",97
sample_052,"(30039694, 30039772)",78
sample_053,"(21330328, 21330422)",94
sample_054,"(53029654, 53029744)",90
sample_055,"(98679842, 98679902)",60
sample_056,"(30269085, 30269177)",92
sample_057,"(69836470, 69836480)",10
sample_058,"(78069005, 78069025)",20
sample_059,"(29862654, 29862659)",5
sample_060,"(74995904, 74995937)",33
sample_061,"(41836048, 41836087)",39
sample_062,"(66172136, 66172164)",28
sample_063,"(66284733, 66284816)",83
sample_064,"(57291271, 57291307)",36
sample_065,"(16306659, 16306688)",29
sample_066,"(84847830, 84847885)",55
sample_067,"(37511766, 37511781)",15
sample_068,"(25159703, 25159783)",80
sample_069,"(11751313, 11751321)",8
sample_070,"(62362151, 62362250)",99
sample_071,"(70335921, 70335998)",77
sample_072,"(9526080, 9526101)",21
sample_073,"(55112561, 55112563)",2
sample_074,"(28837611, 28837693)",82
sample_075,"(67355897, 67355968)",71
sample_076,"(24041711, 24041784)",73
sample_077,"(71566272, 71566349)",77
sample_078,"(43579652, 43579660)",8
sample_079,"(94179159, 94179195)",36
sample_080,"(20651927, 20651939)",12
sample_081,"(39378104, 39378190)",86
sample_082,"(18439564, 18439627)",63
sample_083,"(93071813, 93071847)",34
sample_084,"(88715221, 88715228)",7
sample_085,"(31730630, 31730662)",32
sample_086,"(68718532, 68718565)",33
sample_087,"(83184442, 83184515)",73
sample_088,"(59078475, 59078539)",64
sample_089,"(56727853, 56727942)",89
sample_090,"(30250411, 30250459)",48
sample_091,"(16565455, 16565468)",13
sample_092,"(90543850, 90543922)",72
sample_093,"(90838461, 90838537)",76
sample_094,"(66245334, 66245391)",57
sample_095,"(39190741, 39190818)",77
sample_096,"(40127281, 40127331)",50
sample_097,"(74787922, 74787975)",53
sample_098,"(90534144, 90534187)",43
sample_099,"(89611951, 89611955)",4
sample_100,"(79748550, 79748562)",12
