sample_id,number_pair,delta
sample_001,"(1089149, 1089187)",38
sample_002,"(6654976, 6655071)",95
sample_003,"(3692075, 3692148)",73
sample_004,"(5478850, 5478910)",60
sample_005,"(9149612, 9149628)",16
sample_006,"(3093489, 3093505)",16
sample_007,"(4575523, 4575530)",7
sample_008,"(7751070, 7751157)",87
sample_009,"(2904943, 2905004)",61
sample_010,"(1508215, 1508286)",71
sample_011,"(3465713, 3465716)",3
sample_012,"(2283236, 2283333)",97
sample_013,"(9353218, 9353301)",83
sample_014,"(8234707, 8234729)",22
sample_015,"(6627315, 6627334)",19
sample_016,"(8817437, 8817456)",19
sample_017,"(8193783, 8193814)",31
sample_018,"(2516445, 2516498)",53
sample_019,"(9011543, 9011587)",44
sample_020,"(5761949, 5761979)",30
sample_021,"(8228449, 8228511)",62
sample_022,"(9044040, 9044055)",15
sample_023,"(3725632, 3725662)",30
sample_024,"(1812478, 1812515)",37
sample_025,"(2897003, 2897049)",46
sample_026,"(4729392, 4729471)",79
sample_027,"(8325736, 8325757)",21
sample_028,"(8718721, 8718773)",52
sample_029,"(863960, 864020)",60
sample_030,"(5498875, 5498881)",6
sample_031,"(4640181, 4640242)",61
sample_032,"(2843392, 2843410)",18
sample_033,"(1902761, 1902768)",7
sample_034,"(3906060, 3906155)",95
sample_035,"(9474769, 9474866)",97
sample_036,"(3773467, 3773548)",81
sample_037,"(5572874, 5572905)",31
sample_038,"(7267774, 7267785)",11
sample_039,"(4145392, 4145461)",69
sample_040,"(9740395, 9740440)",45
sample_041,"(9654515, 9654528)",13
sample_042,"(3116397, 3116447)",50
sample_043,"(5374686, 5374690)",4
sample_044,"(3568080, 3568171)",91
sample_045,"(3420533, 3420560)",27
sample_046,"(1139360, 1139427)",67
sample_047,"(6407992, 6408024)",32
sample_048,"(5424647, 5424699)",52
sample_049,"(1273605, 1273660)",55
sample_050,"(3363547, 3363566)",19
sample_051,"(9156046, 9156143)",97
sample_052,"(3003969, 3004047)",78
sample_053,"(2133033, 2133127)",94
sample_054,"(5302965, 5303055)",90
sample_055,"(9867984, 9868044)",60
sample_056,"(3026908, 3027000)",92
sample_057,"(6983647, 6983657)",10
sample_058,"(7806900, 7806920)",20
sample_059,"(2986265, 2986270)",5
sample_060,"(7499590, 7499623)",33
sample_061,"(4183605, 4183644)",39
sample_062,"(6617214, 6617242)",28
sample_063,"(6628473, 6628556)",83
sample_064,"(5729127, 5729163)",36
sample_065,"(1630666, 1630695)",29
sample_066,"(8484783, 8484838)",55
sample_067,"(3751177, 3751192)",15
sample_068,"(2515970, 2516050)",80
sample_069,"(1175131, 1175139)",8
sample_070,"(6236215, 6236314)",99
sample_071,"(7033592, 7033669)",77
sample_072,"(952608, 952629)",21
sample_073,"(5511256, 5511258)",2
sample_074,"(2883761, 2883843)",82
sample_075,"(6735590, 6735661)",71
sample_076,"(2404171, 2404244)",73
sample_077,"(7156627, 7156704)",77
sample_078,"(4357965, 4357973)",8
sample_079,"(9417916, 9417952)",36
sample_080,"(2065193, 2065205)",12
sample_081,"(3937810, 3937896)",86
sample_082,"(1843956, 1844019)",63
sample_083,"(9307181, 9307215)",34
sample_084,"(8871522, 8871529)",7
sample_085,"(3173063, 3173095)",32
sample_086,"(6871853, 6871886)",33
sample_087,"(8318444, 8318517)",73
sample_088,"(5907847, 5907911)",64
sample_089,"(5672785, 5672874)",89
sample_090,"(3025041, 3025089)",48
sample_091,"(1656545, 1656558)",13
sample_092,"(9054385, 9054457)",72
sample_093,"(9083846, 9083922)",76
sample_094,"(6624533, 6624590)",57
sample_095,"(3919074, 3919151)",77
sample_096,"(4012728, 4012778)",50
sample_097,"(7478792, 7478845)",53
sample_098,"(9053414, 9053457)",43
sample_099,"(8961195, 8961199)",4
sample_100,"(7974855, 7974867)",12
