sample_id,number_pair,delta
sample_001,"(12797, 12835)",38
sample_002,"(66641, 66736)",95
sample_003,"(37978, 38051)",73
sample_004,"(55263, 55323)",60
sample_005,"(90773, 90789)",16
sample_006,"(32187, 32203)",16
sample_007,"(46524, 46531)",7
sample_008,"(77244, 77331)",87
sample_009,"(30363, 30424)",61
sample_010,"(16851, 16922)",71
sample_011,"(35788, 35791)",3
sample_012,"(24349, 24446)",97
sample_013,"(92743, 92826)",83
sample_014,"(81923, 81945)",22
sample_015,"(66373, 66392)",19
sample_016,"(87560, 87579)",19
sample_017,"(81527, 81558)",31
sample_018,"(26605, 26658)",53
sample_019,"(89438, 89482)",44
sample_020,"(58001, 58031)",30
sample_021,"(81862, 81924)",62
sample_022,"(89752, 89767)",15
sample_023,"(38302, 38332)",30
sample_024,"(19795, 19832)",37
sample_025,"(30286, 30332)",46
sample_026,"(48013, 48092)",79
sample_027,"(82803, 82824)",21
sample_028,"(86605, 86657)",52
sample_029,"(10619, 10679)",60
sample_030,"(55457, 55463)",6
sample_031,"(47150, 47211)",61
sample_032,"(29768, 29786)",18
sample_033,"(20668, 20675)",7
sample_034,"(40048, 40143)",95
sample_035,"(93919, 94016)",97
sample_036,"(38765, 38846)",81
sample_037,"(56172, 56203)",31
sample_038,"(72569, 72580)",11
sample_039,"(42363, 42432)",69
sample_040,"(96489, 96534)",45
sample_041,"(95658, 95671)",13
sample_042,"(32409, 32459)",50
sample_043,"(54255, 54259)",4
sample_044,"(36778, 36869)",91
sample_045,"(35351, 35378)",27
sample_046,"(13283, 13350)",67
sample_047,"(64251, 64283)",32
sample_048,"(54738, 54790)",52
sample_049,"(14582, 14637)",55
sample_050,"(34800, 34819)",19
sample_051,"(90836, 90933)",97
sample_052,"(31321, 31399)",78
sample_053,"(22896, 22990)",94
sample_054,"(53561, 53651)",90
sample_055,"(97723, 97783)",60
sample_056,"(31543, 31635)",92
sample_057,"(69820, 69830)",10
sample_058,"(77784, 77804)",20
sample_059,"(31150, 31155)",5
sample_060,"(74811, 74844)",33
sample_061,"(42733, 42772)",39
sample_062,"(66275, 66303)",28
sample_063,"(66384, 66467)",83
sample_064,"(57684, 57720)",36
sample_065,"(18036, 18065)",29
sample_066,"(84342, 84397)",55
sample_067,"(38549, 38564)",15
sample_068,"(26600, 26680)",80
sample_069,"(13629, 13637)",8
sample_070,"(62589, 62688)",99
sample_071,"(70303, 70380)",77
sample_072,"(11476, 11497)",21
sample_073,"(55576, 55578)",2
sample_074,"(30158, 30240)",82
sample_075,"(67420, 67491)",71
sample_076,"(25519, 25592)",73
sample_077,"(71493, 71570)",77
sample_078,"(44419, 44427)",8
sample_079,"(93369, 93405)",36
sample_080,"(22239, 22251)",12
sample_081,"(40355, 40441)",86
sample_082,"(20099, 20162)",63
sample_083,"(92298, 92332)",34
sample_084,"(88083, 88090)",7
sample_085,"(32957, 32989)",32
sample_086,"(68739, 68772)",33
sample_087,"(82733, 82806)",73
sample_088,"(59413, 59477)",64
sample_089,"(57139, 57228)",89
sample_090,"(31525, 31573)",48
sample_091,"(18286, 18299)",13
sample_092,"(89852, 89924)",72
sample_093,"(90137, 90213)",76
sample_094,"(66346, 66403)",57
sample_095,"(40174, 40251)",77
sample_096,"(41080, 41130)",50
sample_097,"(74610, 74663)",53
sample_098,"(89843, 89886)",43
sample_099,"(88951, 88955)",4
sample_100,"(79409, 79421)",12
