group,response_mean,response_var,correct_mean,correct_var,range_category
0,1.603110255092798,1.7845718875203807,2.8284,0.0,short
1,5.25438075794,15.497378563292147,5.0,0.0,short
2,3.145731380223532,2.6304676044111086,4.2426,0.0,short
3,2.081875673894619,5.590267097964377,3.6056,0.0,short
4,2.4902205101855954,1.252902263313739,2.2361,0.0,short
5,3.016323850592798,1.6316380354315312,2.2361,0.0,short
6,1.530528137428619,0.06887952569093904,1.4142,0.0,short
7,9.337223470414619,91.27834732947777,5.0,0.0,short
8,3.881875673894619,12.421826565438591,3.6056,0.0,short
9,13.369638392523857,467.56596156650505,4.2426,0.0,short
0,4.932,6.35312,5.0,0.0,medium
1,6.1939947134745355,31.29226188149649,7.0710999999999995,0.0,medium
2,5.225919740474619,15.37110359108032,6.4031,0.0,medium
3,5.183791668923815,15.909604932480088,5.6569,0.0,medium
4,6.414199999999999,4.8223082,4.2426,0.0,medium
5,3.7168427124746186,8.481060813405394,4.2426,0.0,medium
6,5.0,0.0,3.6056,0.0,medium
7,10.076636290423773,34.32597633550107,7.0710999999999995,0.0,medium
8,6.635955295323815,11.704346648555392,5.6569,0.0,medium
9,8.41484271247462,32.74692765539099,6.4031,0.0,medium
0,9.022612961426901,6.740428787864116,7.0710999999999995,0.0,long
1,13.812223354028959,4.778053673067588,9.2195,0.0,long
2,9.408199999999999,28.603306199999995,8.4853,0.0,long
3,10.5464,32.2157868,7.8102,0.0,long
4,5.6198,12.329860199999997,5.6569,0.0,long
5,7.763651955092797,8.904685655972784,5.6569,0.0,long
6,7.7635417,8.90583184619445,5.6569,0.0,long
7,13.168401229659711,22.73879515499645,8.4853,0.0,long
8,12.957989194802,21.86263848769404,7.8102,0.0,long
9,13.253005954847714,21.69457528758943,8.4853,0.0,long
