sample_id,actual_percentage,x_start,x_end,y_start,y_end,distance_x,distance_y,number_line_max
sample_001,3.0,10,17.49080237694725,800,1038.3390537575715,7.490802376947251,238.3390537575715,1000
sample_002,64.0,10,29.01428612819832,800,829.8773963965169,19.01428612819832,29.87739639651693,1000
sample_003,31.0,10,24.6398788362281,800,846.571020491172,14.6398788362281,46.57102049117202,1000
sample_004,51.0,10,21.973169683940732,800,823.5427835145599,11.973169683940732,23.542783514559915,1000
sample_005,91.0,10,13.12037280884873,800,803.4381754929202,3.12037280884873,3.438175492920209,1000
sample_006,25.0,10,13.119890406724053,800,812.5149926147953,3.1198904067240534,12.514992614795347,1000
sample_007,41.0,10,11.16167224336399,800,802.830703175393,1.1616722433639897,2.830703175392955,1000
sample_008,76.0,10,27.323522915498703,800,822.9283261340909,17.323522915498703,22.928326134090867,1000
sample_009,23.0,10,22.022300234864176,800,852.5454398160565,12.022300234864176,52.5454398160565,1000
sample_010,8.0,10,24.16145155592091,800,983.962953287639,14.161451555920909,183.96295328763904,1000
sample_011,28.999999999999996,10,10.411689885916049,800,801.420838038174,0.41168988591604894,1.4208380381739971,1000
sample_012,16.0,10,29.398197043239886,800,920.3203210546135,19.398197043239886,120.32032105461349,1000
sample_013,93.0,10,26.648852816008436,800,817.9078141953548,16.648852816008436,17.90781419535483,1000
sample_014,81.0,10,14.246782213565524,800,805.2551356468136,4.246782213565524,5.255135646813642,1000
sample_015,63.0,10,13.636499344142013,800,805.7412026795931,3.6364993441420133,5.74120267959313,1000
sample_016,87.0,10,13.668090197068675,800,804.2091291773487,3.6680901970686755,4.2091291773487,1000
sample_017,80.0,10,16.084844859190753,800,807.5713030651364,6.084844859190753,7.571303065136362,1000
sample_018,19.0,10,20.495128632644757,800,856.2530166700305,10.495128632644757,56.25301667003055,1000
sample_019,89.0,10,18.638900372842315,800,809.678800378975,8.638900372842315,9.678800378974984,1000
sample_020,54.0,10,15.824582803960839,800,810.7994189056524,5.824582803960839,10.799418905652374,1000
sample_021,81.0,10,22.237057894447588,800,815.1553744462476,12.237057894447588,15.155374446247606,1000
sample_022,90.0,10,12.789877213040837,800,803.113385001371,2.789877213040837,3.1133850013709434,1000
sample_023,32.0,10,15.842892970704362,800,818.373676486464,5.842892970704362,18.373676486463978,1000
sample_024,11.0,10,17.327236865873836,800,866.5798158216771,7.327236865873836,66.57981582167713,1000
sample_025,23.0,10,19.12139968434072,800,840.0175189409941,9.12139968434072,40.01751894099414,1000
sample_026,43.0,10,25.703519227860273,800,836.7671104251432,15.703519227860273,36.76711042514319,1000
sample_027,82.0,10,13.993475643167194,800,804.8819114391703,3.9934756431671943,4.881911439170267,1000
sample_028,86.0,10,20.284688768272233,800,811.9487897471505,10.284688768272233,11.9487897471505,1000
sample_029,1.0,10,21.848291377240848,800,2504.267680833025,11.848291377240848,1704.2676808330252,1000
sample_030,51.0,10,10.929008254399955,800,801.8189195512372,0.9290082543999549,1.8189195512371725,1000
sample_031,42.0,10,22.150897038028766,800,829.1101502987879,12.150897038028766,29.110150298787858,1000
sample_032,22.0,10,13.41048247374583,800,815.3550767373634,3.41048247374583,15.355076737363447,1000
sample_033,12.0,10,11.30103185970559,800,810.8541098120841,1.3010318597055903,10.854109812084062,1000
sample_034,34.0,10,28.977710745066666,800,856.211072109607,18.977710745066666,56.21107210960702,1000
sample_035,94.0,10,29.312640661491187,800,820.4819619326804,19.312640661491187,20.481961932680406,1000
sample_036,32.0,10,26.16794696232922,800,850.0241345622785,16.16794696232922,50.024134562278505,1000
sample_037,52.0,10,16.092275383467413,800,811.7432257410411,6.092275383467413,11.743225741041101,1000
sample_038,70.0,10,11.953442280127678,800,802.7786480797013,1.9534422801276783,2.77864807970127,1000
sample_039,36.0,10,23.684660530243136,800,837.6335161953316,13.684660530243136,37.633516195331595,1000
sample_040,97.0,10,18.803049874792027,800,809.0586665789759,8.803049874792027,9.05866657897593,1000
sample_041,96.0,10,12.440764696895577,800,802.5359982928129,2.4407646968955774,2.5359982928129057,1000
sample_042,25.0,10,19.903538202225405,800,839.3337353993089,9.903538202225405,39.33373539930892,1000
sample_043,50.0,10,10.687770422304368,800,801.3831523155008,0.6877704223043679,1.3831523155007517,1000
sample_044,30.0,10,28.186408041575643,800,860.4443971140721,18.186408041575643,60.4443971140721,1000
sample_045,28.000000000000004,10,15.175599632000338,800,818.1701679858121,5.175599632000338,18.1701679858121,1000
sample_046,4.0,10,23.25044568707964,800,1159.2177351984476,13.25044568707964,359.2177351984476,1000
sample_047,61.0,10,16.23422152178822,800,810.2273397150461,6.234221521788221,10.227339715046128,1000
sample_048,50.0,10,20.401360423556216,800,820.6918529377755,10.401360423556216,20.69185293777548,1000
sample_049,5.0,10,20.934205586865595,800,1012.4023081633678,10.934205586865595,212.40230816336782,1000
sample_050,28.000000000000004,10,13.697089110510541,800,813.2680280750707,3.6970891105105412,13.268028075070674,1000
sample_051,91.0,10,29.391692555291172,800,821.3502376946074,19.391692555291172,21.350237694607358,1000
sample_052,24.0,10,25.50265646722229,800,864.7125317973607,15.502656467222291,64.71253179736073,1000
sample_053,14.000000000000002,10,28.789978831283783,800,929.6800815659919,18.789978831283783,129.68008156599194,1000
sample_054,49.0,10,27.896547008552975,800,836.5644010228976,17.896547008552975,36.56440102289764,1000
sample_055,99.0,10,21.957999576221702,800,812.1320895519822,11.957999576221702,12.132089551982176,1000
sample_056,24.0,10,28.437484700462335,800,876.1705563581843,18.437484700462335,76.17055635818429,1000
sample_057,67.0,10,11.76985004103839,800,802.6331742873431,1.7698500410383904,2.6331742873430812,1000
sample_058,76.0,10,13.919657248382904,800,805.1464762323528,3.9196572483829044,5.146476232352825,1000
sample_059,24.0,10,10.90454577821076,800,803.8064093872292,0.9045457782107604,3.8064093872292233,1000
sample_060,73.0,10,16.506606615265287,800,808.9349911295843,6.506606615265287,8.934991129584319,1000
sample_061,37.0,10,17.77354579378964,800,821.1362215997099,7.773545793789641,21.13622159970987,1000
sample_062,63.0,10,15.426980635477918,800,808.5828413607752,5.426980635477918,8.582841360775205,1000
sample_063,63.0,10,26.57475018303859,800,826.1625459729926,16.57475018303859,26.162545972992575,1000
sample_064,54.0,10,17.135066533871786,800,813.3172894239926,7.135066533871786,13.317289423992634,1000
sample_065,9.0,10,15.618690193747614,800,862.2295326520581,5.618690193747614,62.22953265205808,1000
sample_066,84.0,10,20.853921663164968,800,812.9940012396448,10.853921663164968,12.994001239644831,1000
sample_067,32.0,10,12.818484499495252,800,808.7863455596706,2.818484499495252,8.786345559670622,1000
sample_068,19.0,10,26.043939615080795,800,886.017948463593,16.043939615080795,86.01794846359303,1000
sample_069,4.0,10,11.491012873595416,800,836.5667123826629,1.491012873595416,36.5667123826629,1000
sample_070,59.0,10,29.737738732010346,800,833.4032398923446,19.737738732010346,33.40323989234457,1000
sample_071,68.0,10,25.444895385933147,800,822.7947280815343,15.444895385933147,22.794728081534345,1000
sample_072,2.0,10,13.974313630683447,800,1039.592152051275,3.9743136306834472,239.59215205127498,1000
sample_073,51.0,10,10.110442342472048,800,800.2156685014221,0.11044234247204798,0.21566850142210114,1000
sample_074,23.0,10,26.309228569096682,800,872.0067672557857,16.309228569096682,72.00676725578569,1000
sample_075,65.0,10,24.137146876952343,800,821.9121870715911,14.137146876952343,21.91218707159112,1000
sample_076,17.0,10,24.580143360819747,800,883.617835405704,14.580143360819747,83.617835405704,1000
sample_077,69.0,10,25.425406933718914,800,822.3253212019971,15.425406933718914,22.3253212019971,1000
sample_078,39.0,10,11.480893034681808,800,803.8292156350534,1.4808930346818077,3.8292156350534015,1000
sample_079,94.0,10,17.169314570885454,800,807.6535550874739,7.169314570885454,7.653555087473933,1000
sample_080,14.000000000000002,10,12.317381190502594,800,816.8511146058047,2.3173811905025943,16.851114605804696,1000
sample_081,34.0,10,27.26206851751187,800,850.6120538257619,17.26206851751187,50.612053825761905,1000
sample_082,11.0,10,22.46596253655116,800,909.8578981269168,12.46596253655116,109.85789812691678,1000
sample_083,92.0,10,16.617960497052984,800,807.156922429478,6.617960497052984,7.156922429477959,1000
sample_084,88.0,10,11.271167005720473,800,801.4488886208305,1.2711670057204731,1.4488886208305303,1000
sample_085,26.0,10,16.219646434313244,800,824.1126121805419,6.219646434313244,24.112612180541873,1000
sample_086,66.0,10,16.503666440534943,800,809.8542782656873,6.503666440534943,9.854278265687299,1000
sample_087,82.0,10,24.59212356676128,800,817.8557601141629,14.59212356676128,17.855760114162877,1000
sample_088,56.00000000000001,10,22.751149427104263,800,822.9667341270086,12.751149427104263,22.966734127008635,1000
sample_089,53.0,10,27.74425485152653,800,833.5018134155603,17.74425485152653,33.501813415560264,1000
sample_090,24.0,10,19.444298503238986,800,839.0498616658807,9.444298503238986,39.04986166588071,1000
sample_091,9.0,10,12.391884918766035,800,825.6908035618516,2.391884918766035,25.690803561851567,1000
sample_092,90.0,10,24.2648957444599,800,815.8990695582522,14.2648957444599,15.899069558252222,1000
sample_093,90.0,10,25.21570097233795,800,816.8984849329581,15.215700972337949,16.898484932958127,1000
sample_094,63.0,10,21.225543951389923,800,817.7310347692734,11.225543951389923,17.73103476927338,1000
sample_095,34.0,10,25.41934359909122,800,845.4807925621978,15.41934359909122,45.48079256219785,1000
sample_096,35.0,10,19.875911927287817,800,828.2807593069064,9.875911927287817,28.28075930690636,1000
sample_097,73.0,10,20.45465658763988,800,814.4012325985381,10.454656587639882,14.401232598538058,1000
sample_098,90.0,10,18.550820367170992,800,809.5315155214288,8.550820367170992,9.531515521428787,1000
sample_099,89.0,10,10.508382534881903,800,800.5730924529738,0.5083825348819033,0.5730924529738104,1000
