group,response_mean,response_var,correct_mean,correct_var,range_category
0,7.0,0.0,2.8284,0.0,short
1,7.0,0.0,5.0,0.0,short
2,7.0,0.0,4.2426,0.0,short
3,7.0,0.0,3.6056,0.0,short
4,7.0,0.0,2.2361,0.0,short
5,6.048,4.5315199999999995,2.2361,0.0,short
6,5.882,6.24962,1.4142,0.0,short
7,7.0,0.0,5.0,0.0,short
8,7.4,0.7999999999999998,3.6056,0.0,short
9,7.0,0.0,4.2426,0.0,short
0,7.0,0.0,5.0,0.0,medium
1,6.0,5.0,7.0710999999999995,0.0,medium
2,6.8,0.19999999999999996,6.4031,0.0,medium
3,6.8,0.19999999999999996,5.6569,0.0,medium
4,7.4,0.8,4.2426,0.0,medium
5,6.7219999999999995,3.7764200000000003,4.2426,0.0,medium
6,7.0,0.0,3.6056,0.0,medium
7,7.8,1.2000000000000002,7.0710999999999995,0.0,medium
8,7.2,1.2000000000000002,5.6569,0.0,medium
9,7.2,6.2,6.4031,0.0,medium
0,7.0,0.0,7.0710999999999995,0.0,long
1,7.0,0.0,9.2195,0.0,long
2,7.0,0.0,8.4853,0.0,long
3,7.0,0.0,7.8102,0.0,long
4,7.0,0.0,5.6569,0.0,long
5,6.8,0.19999999999999996,5.6569,0.0,long
6,8.0,5.0,5.6569,0.0,long
7,7.0,0.0,8.4853,0.0,long
8,8.2,7.200000000000001,7.8102,0.0,long
9,7.0,0.0,8.4853,0.0,long
