scope,model,r2,aic,aic_weight,w_p,gain_factor
overall,Linear_basic,0.7462262092461052,-190.55160172684884,0.29441903450463736,,
overall,Static_basic,0.7458323787541039,-190.31899779167796,0.26209369974123836,0.0,
overall,Seq_basic,0.7454647499036635,-190.1021940727581,0.23516801425578016,0.009900990099009901,
overall,StaticGain_basic,0.7462262092461056,-188.55160172686539,0.10831070988469739,0.0,1.0235132788203414
overall,SeqGain_basic,0.745952381350308,-188.38983545396036,0.09989512678833647,0.009900990099009901,1.0262384947342669
overall,Linear_weber,0.7196373266651701,-173.68165924183387,6.392995791536829e-05,,
overall,StaticGain_weber,0.7196373384989454,-171.68165924183364,2.3518517192016838e-05,0.0,1.0937295607002888
overall,SeqGain_weber,0.7187844517016573,-170.9984368241078,1.6712833003138183e-05,0.009900990099009901,1.0962344156051518
overall,Static_weber,0.7367404773681883,-168.82608228781802,5.640651649223456e-06,0.0,
overall,Seq_weber,0.7359640000583598,-167.9350855663705,3.61286555044721e-06,0.009900990099009901,
range:long,Static_basic,0.3560612511035298,-96.5861956196119,0.40536428867440005,0.46186527718917303,
range:long,Linear_basic,0.35606125110352327,-96.58619561961139,0.40536428867429636,,
range:long,StaticGain_basic,0.3560612511035238,-94.5861956196113,0.14912518798835303,0.5656038073366301,1.2388109765433495
range:long,Seq_basic,0.27970025615001504,-90.98300436093258,0.024610926517104524,0.7126527679342388,
range:long,SeqGain_basic,0.2939619232730243,-89.98291772420558,0.014926634885157754,0.9900990099009901,1.4365947855289665
range:long,Static_weber,0.33557863812093425,-81.551853944893,0.00022038380237893992,0.5432978762840239,
range:long,Linear_weber,0.3355786380571385,-81.55185394489267,0.0002203838023789039,,
range:long,StaticGain_weber,0.3355786429105323,-79.55185394489307,8.107467006240488e-05,0.7588765372230154,1.8940593111317032
range:long,Seq_weber,0.2240271752258437,-78.75690485382923,5.448339831104074e-05,0.9900990099009901,
range:long,SeqGain_weber,0.22023672777431103,-77.71419166951661,3.234758755682234e-05,0.9900990099009901,1.3154840506919345
range:medium,SeqGain_basic,0.9384924624610318,-153.4589360775291,0.4515133644759998,0.0575119202740084,1.3085631199757208
range:medium,Linear_basic,0.9356335077019083,-153.18726293441333,0.3941645260839489,,
range:medium,StaticGain_basic,0.9356335077019096,-151.1872629344139,0.14500502558541073,0.07755171676184229,1.3586439399444616
range:medium,Linear_weber,0.9289992968690765,-144.19467444509678,0.004395029117999841,,
range:medium,SeqGain_weber,0.9337947304407792,-143.62120520054438,0.003299396371768097,0.04794932577825536,1.345742042685763
range:medium,StaticGain_weber,0.9289992916850649,-142.19467444509658,0.0016168408558618376,0.2676818975873436,1.775834774763341
range:medium,Static_basic,0.8974207896569144,-129.88515832462315,3.4331265449124454e-06,0.0,
range:medium,Seq_basic,0.8959043767551746,-129.15142597414248,2.378821506889436e-06,0.009900990099009901,
range:medium,Static_weber,0.8909091618281691,-115.99927201648165,3.3144228304837797e-09,0.0,
range:medium,Seq_weber,0.8887370221464495,-115.2214839079505,2.246535935827518e-09,0.009900990099009901,
range:short,Linear_weber,0.5731137047623714,-70.40655278355112,0.5764653728270611,,
range:short,StaticGain_weber,0.5731137051024147,-68.40655278355138,0.2120697592103335,0.18322031121158175,1.6967881890919159
range:short,SeqGain_weber,0.5726902232308669,-68.35675206524556,0.2068543483149689,0.009900990099009901,1.3953414967159126
range:short,Static_weber,0.5000601022168616,-59.544398314825685,0.0025239825702831416,0.0,
range:short,Seq_weber,0.49650525312973803,-59.16366900237904,0.002086469457596875,0.009900990099009901,
range:short,Linear_basic,0.599223873602524,-37.345952472803624,3.817289374906978e-08,,
range:short,SeqGain_basic,0.6000504118256818,-35.44917614858504,1.4786838785828302e-08,0.032653343202747424,1.6401958120434934
range:short,StaticGain_basic,0.5992238736025255,-35.34595247280386,1.4043022820306278e-08,0.010495392768086805,1.6171632773948639
range:short,Static_basic,0.5149245788347909,-27.80088230857725,3.2290103170590836e-10,0.0,
range:short,Seq_basic,0.5131084456998756,-27.61403076996085,2.9410007588254973e-10,0.009900990099009901,
