group,response_mean,response_var,correct_mean,correct_var,range_category
0,2.6,0.3,2.8284,0.0,short
1,6.0,3.0,5.0,0.0,short
2,4.8,2.2,4.2426,0.0,short
3,4.0,1.9999999999999998,3.6056,0.0,short
4,1.8,0.2,2.2361,0.0,short
5,1.8472000000000002,0.23473920000000006,2.2361,0.0,short
6,1.3276,0.033570799999999984,1.4142,0.0,short
7,6.0806,3.0324818,5.0,0.0,short
8,4.0,1.9999999999999998,3.6056,0.0,short
9,4.8198,0.2118602,4.2426,0.0,short
0,4.0,0.9999999999999998,5.0,0.0,medium
1,6.2,0.6999999999999998,7.0710999999999995,0.0,medium
2,6.0,1.0,6.4031,0.0,medium
3,5.0,0.0,5.6569,0.0,medium
4,4.2,2.6999999999999997,4.2426,0.0,medium
5,3.8480000000000003,0.7355200000000001,4.2426,0.0,medium
6,3.4,1.3,3.6056,0.0,medium
7,6.523999999999999,1.06288,7.0710999999999995,0.0,medium
8,5.566,0.7717800000000001,5.6569,0.0,medium
9,5.648000000000001,2.1195199999999996,6.4031,0.0,medium
0,7.8,6.700000000000001,7.0710999999999995,0.0,long
1,10.4,14.3,9.2195,0.0,long
2,9.0,7.500000000000002,8.4853,0.0,long
3,7.6,6.3,7.8102,0.0,long
4,5.4,1.3000000000000005,5.6569,0.0,long
5,5.6,0.7999999999999999,5.6569,0.0,long
6,5.6,0.7999999999999999,5.6569,0.0,long
7,9.2,9.2,8.4853,0.0,long
8,7.2,7.7,7.8102,0.0,long
9,9.2,9.2,8.4853,0.0,long
