llm_model,model_pretty,ablation,ablation_pretty,modality,nrmse
GPT-5 Mini,GPT 5 Mini,base,Base,image,0.19511523786220858
GPT-5 Mini,GPT 5 Mini,base,Base,text,0.005280360772535203
GPT-5 Mini,GPT 5 Mini,base,Base,text_image,0.06654829651315551
GPT-5 Mini,GPT 5 Mini,base_1,Verbal steer,image,0.19062405052616946
GPT-5 Mini,GPT 5 Mini,base_1,Verbal steer,text,0.015129911124487364
GPT-5 Mini,GPT 5 Mini,base_1,Verbal steer,text_image,0.022992624107583636
GPT-5 Mini,GPT 5 Mini,base_2,Numerical steer,image,0.1863980556062223
GPT-5 Mini,GPT 5 Mini,base_2,Numerical steer,text,0.023834135046671194
GPT-5 Mini,GPT 5 Mini,base_2,Numerical steer,text_image,0.015385227718073867
GPT-5 Mini,GPT 5 Mini,base_3,Noise,image,0.2093375074726003
GPT-5 Mini,GPT 5 Mini,base_3,Noise,text_image,0.05140889194687928
GPT-5 Mini,GPT 5 Mini,base_4,Short context,image,0.16433127201694153
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text,0.0001966199987042757
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,0.017316270252917303
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,image,0.2231286678351114
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,text_image,0.04548990405896272
GPT-5 Mini,GPT 5 Mini,base_6,Inconsistent Prior,image,0.18760174387357068
GPT-5 Mini,GPT 5 Mini,base_6,Inconsistent Prior,text,0.010164686564762986
GPT-5 Mini,GPT 5 Mini,base_6,Inconsistent Prior,text_image,0.026520774389851995
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,image,0.19862307464746212
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text,0.021853206108906894
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text_image,0.030489982107931867
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,image,0.20084813826235257
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,text,0.01713038623087768
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,text_image,0.01963084597839011
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,image,0.2780383539589204
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text,0.3997547560195023
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text_image,0.26272222698547465
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,image,0.25030169280944875
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,text,0.4199087061076935
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,text_image,0.3001692877770495
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,image,0.26793930658281
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,text,0.28474047762121213
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,text_image,0.27349029594463736
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,image,0.28288205781526754
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,text_image,0.2800255575329858
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,image,0.3645159260742381
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text,0.4884477030048895
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,0.3373882766848432
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,image,0.29010511391671184
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,text_image,0.3111492264439983
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Inconsistent Prior,image,0.5302392110681116
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Inconsistent Prior,text,0.5887804380740087
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Inconsistent Prior,text_image,0.5734198127313324
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,image,0.24278767030853105
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,text,0.39898495329819383
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,text_image,0.2512052583239984
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,image,0.37074385439615437
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,text,0.41335918272406635
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,text_image,0.2613670841106921
gemma-3-4b-it,Gemma 3 4B it,base,Base,image,3.006844709904513
gemma-3-4b-it,Gemma 3 4B it,base,Base,text,1.0945644394575977
