llm_model,model_pretty,ablation,ablation_pretty,modality,nrmse
GPT-5 Mini,GPT 5 Mini,base,Base,image,0.36220277787393657
GPT-5 Mini,GPT 5 Mini,base,Base,text,0.09134634089002532
GPT-5 Mini,GPT 5 Mini,base,Base,text_image,0.3315821960059997
GPT-5 Mini,GPT 5 Mini,base_1,Verbal steer,image,0.3576914752393354
GPT-5 Mini,GPT 5 Mini,base_1,Verbal steer,text,0.09932137094546414
GPT-5 Mini,GPT 5 Mini,base_1,Verbal steer,text_image,0.2792136210010052
GPT-5 Mini,GPT 5 Mini,base_2,Numerical steer,image,0.32775873084642876
GPT-5 Mini,GPT 5 Mini,base_2,Numerical steer,text,0.08711057421278351
GPT-5 Mini,GPT 5 Mini,base_2,Numerical steer,text_image,0.24352488393896532
GPT-5 Mini,GPT 5 Mini,base_3,Noise,image,0.45351109939290224
GPT-5 Mini,GPT 5 Mini,base_3,Noise,text_image,0.3328272919386263
GPT-5 Mini,GPT 5 Mini,base_4,Short context,image,0.32083821385774397
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text,0.13246676438849625
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,0.28078824977891786
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,image,0.40898973172229225
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,text_image,0.38069418293844887
GPT-5 Mini,GPT 5 Mini,base_6,Inconsistent Prior,image,0.38028007704987604
GPT-5 Mini,GPT 5 Mini,base_6,Inconsistent Prior,text,0.20891544439126564
GPT-5 Mini,GPT 5 Mini,base_6,Inconsistent Prior,text_image,0.3116160387287432
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,image,0.43926550295338185
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text,0.09967058448376838
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text_image,0.32585455037407807
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,image,0.3595622462283362
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,text,0.1507607357115533
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,text_image,0.28990780171894426
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,image,0.7433797695635965
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text,0.28246576845318316
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text_image,0.25603426603539636
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,image,0.6694118220172942
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,text,0.26681074168370494
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,text_image,0.2341609700450763
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,image,0.3620507369165655
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,text,0.24361343297431864
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,text_image,0.21332388909174987
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,image,0.6410576707011981
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,text_image,0.3225662931114726
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,image,0.5380890070042782
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text,0.3947706325391255
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,0.3804048525524067
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,image,0.49240237296023615
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,text_image,0.27908897141152555
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Inconsistent Prior,image,0.4910919846049821
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Inconsistent Prior,text,0.3495685672701105
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Inconsistent Prior,text_image,0.28280415180040774
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,image,0.8995848280533848
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,text,0.24440528157066027
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,text_image,0.24279619819449996
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,image,0.6641151705522222
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,text,0.27175451442879095
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,text_image,0.4404385415236202
gemma-3-4b-it,Gemma 3 4B it,base,Base,image,1.1531392929492894
gemma-3-4b-it,Gemma 3 4B it,base,Base,text,0.9155322404850065
gemma-3-4b-it,Gemma 3 4B it,base,Base,text_image,1.029104754812171
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal steer,image,0.8697418904900822
