llm_model,model_pretty,ablation,ablation_pretty,modality,combo_model,prob,nrmse,w_img
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Bayes(stimulus),9.703439440727493e-05,0.36159845617621134,0.41432312585693004
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Bayes(range),1.0699365870331623e-31,0.42073807237844457,0.10009321846795656
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,EmpiricalLinear,2.7329353600739903e-39,0.4920262165333083,0.001021378767051506
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,Equal,4.549001536438718e-292,32.1804569024452,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,EmpiricalLinear,0.9201699978537322,0.6851983132357722,0.4094054324124467
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Equal,0.0738740839613035,0.6611125361774768,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Bayes(range),0.0054510072634723,0.664432589642887,0.48820764655923377
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,Bayes(stimulus),0.0001676787317629,0.6524734968887803,0.6654675581254209
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Bayes(stimulus),9.13253723065046e-06,0.42953764122185506,0.6667414783184459
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,EmpiricalLinear,7.516028725375849e-07,0.37982281160189396,0.6272973587553581
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Bayes(range),9.08882764572465e-08,0.4045426033369438,0.5966823934546195
openai_gpt-4o-2024-08-06,GPT 4o,base_4,Short context,text_image,Equal,1.1748519648175661e-08,0.40306948825319394,0.5
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Bayes(range),0.5394853536245277,0.45019553891087677,0.44336254590305835
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Equal,0.3904669563740968,0.4626778945023408,0.5
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,EmpiricalLinear,0.0700476860983765,0.4858396751550384,0.4222435975358892
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_4,Short context,text_image,Bayes(stimulus),2.088866729310119e-09,0.556416393806437,0.6225227805431672
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,EmpiricalLinear,0.975004436075078,0.20340781020533835,0.2663341374910453
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,Bayes(stimulus),0.0170511051668675,0.17031500693862278,0.2523270985494282
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,Bayes(range),4.020621222930779e-08,0.13076350932512046,0.11650403007056476
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,Equal,1.5955588998813402e-09,0.1852510468563495,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,EmpiricalLinear,0.0676491968520879,1.0770366611215092,0.3394158780358905
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Bayes(stimulus),1.6553895941097397e-05,0.8162862812907676,0.2740453464337273
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Bayes(range),1.954344675767075e-06,0.9164525748284035,0.2851818696178694
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,Equal,2.013967404032756e-09,0.9906599467473481,0.5
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,EmpiricalLinear,0.9998720892405306,0.5361109911120161,0.30723340670953425
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Bayes(range),7.546253045381881e-05,0.5089705048795382,0.2586240334918825
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Equal,5.235319102794257e-05,0.5253868303979642,0.5
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text_image,Bayes(stimulus),3.7518496120134476e-08,0.571961032374713,0.4510165960233015
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,EmpiricalLinear,0.0356504926483259,0.32998980838666286,0.5245561381575502
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,Equal,0.0008493544442399,0.33823298095777493,0.5
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,Bayes(range),1.2123542878014942e-05,0.3212808122840516,0.31855231661656064
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,Bayes(stimulus),5.809831042089181e-06,0.2992639443767078,0.26673244189752643
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,EmpiricalLinear,0.9999967287078916,0.9321481583270104,0.7271420230120645
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,Equal,3.1886800993062574e-06,0.8970080088297994,0.5
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,Bayes(range),4.579263501960328e-12,0.8569220676195957,0.45002501603694905
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,Bayes(stimulus),1.3117307521313771e-14,0.8271548125338196,0.38902487855306783
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,text_image,Equal,0.0674376069414635,0.5386418723238717,0.5
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,text_image,EmpiricalLinear,0.0422027308730176,0.5729019538961936,0.49806906702495496
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,text_image,Bayes(stimulus),0.0090775491762474,0.4992984282192189,0.4808650873674857
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,text_image,Bayes(range),4.336260043485028e-06,0.45840361057915335,0.23411582469947356
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,text_image,EmpiricalLinear,0.999659969037612,0.7256749814083646,0.09688825690573925
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,text_image,Bayes(range),0.0003400309623877,0.6979552078356681,0.2076447463793116
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,text_image,Equal,1.6407060084905664e-20,0.6673501175639245,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,text_image,Bayes(stimulus),0.0,0.6329446628189245,0.34514751701163293
openai_gpt-4o-2024-08-06,GPT 4o,base_3,Noise,text_image,EmpiricalLinear,0.9999999999994684,0.37958860777543874,0.5663248947158103
openai_gpt-4o-2024-08-06,GPT 4o,base_3,Noise,text_image,Bayes(range),5.188815805043866e-13,0.32176797065728324,0.653544381829188
openai_gpt-4o-2024-08-06,GPT 4o,base_3,Noise,text_image,Equal,9.99234172580005e-16,0.3682644536295706,0.5
openai_gpt-4o-2024-08-06,GPT 4o,base_3,Noise,text_image,Bayes(stimulus),9.130886707293638e-32,0.4366088055057783,0.4245939960822461
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_3,Noise,text_image,EmpiricalLinear,0.999999999759333,0.507044622971134,0.3925607820909603
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_3,Noise,text_image,Bayes(stimulus),4.162567641731916e-12,0.39704067414174676,0.4151036152844647
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_3,Noise,text_image,Equal,6.654333283335732e-13,0.3761695115635485,0.5
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_3,Noise,text_image,Bayes(range),3.187606223777711e-13,0.37761147585294313,0.47228118546608244
GPT-5 Mini,GPT 5 Mini,base_3,Noise,text_image,EmpiricalLinear,0.999999267664194,0.27375866001673554,0.5108627074535577
GPT-5 Mini,GPT 5 Mini,base_3,Noise,text_image,Equal,7.323358034667222e-07,0.24667242634477507,0.5
GPT-5 Mini,GPT 5 Mini,base_3,Noise,text_image,Bayes(stimulus),3.9082776324419214e-16,0.1768380112159572,0.30360552745643987
GPT-5 Mini,GPT 5 Mini,base_3,Noise,text_image,Bayes(range),3.947812704820538e-28,0.09474674883312727,0.035222222307603634
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,text_image,Bayes(stimulus),0.0753975852643961,0.9250325497063924,0.331068681680137
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,text_image,Bayes(range),0.0112950809173602,0.8988024576896706,0.20096492514574762
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,text_image,EmpiricalLinear,4.709263325484065e-06,0.9761693303580479,0.21263639335308046
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,text_image,Equal,1.336113026067232e-13,1.0387739059468706,0.5
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_3,Noise,text_image,Bayes(range),0.3357481618741858,0.474870670065277,0.3408027500292559
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_3,Noise,text_image,EmpiricalLinear,0.0003585219153487,0.538927651168217,0.3988980191548262
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_3,Noise,text_image,Bayes(stimulus),1.9467238387131875e-05,0.5330368867107941,0.43944428174460837
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_3,Noise,text_image,Equal,1.3207846450892534e-06,0.47916792576306194,0.5
